origin	sha256	bytes	type	destination	action	date	notes
_inbox/kimi-claw/kimi claw/CORE_THEORY_MAP_v2.1.md	a3889fed9f44ac9a944b3996ccfdee3d3a67cc501be3e9c12e2a77405744efe7	36580	artefatto/audit	03_PROJECT/Core-Theory-Map.md	copy	2026-06-30	artefatto congelato: corpus teorico v2.1
_inbox/kimi-claw/kimi claw/OUTLINE_MASTER_v1.0.md	4f351e40243fc9f7cddc26a61e87e8467524b646a4cf8b8faa632ae81fed73a3	41076	artefatto/audit	03_PROJECT/Outline-Master.md	copy	2026-06-30	artefatto congelato: architettura capitoli v1.0
_inbox/kimi-claw/kimi claw/STIGMATA_DOCUMENTATION_FRAMEWORK_v1.0.md	872f740a462edb9570a3e95ece79f49c8dc0a23daeef2d819c3e3a90f3616b83	61285	artefatto/audit	03_PROJECT/Stigmata-Framework.md	copy	2026-06-30	artefatto congelato: framework caso studio v1.0
_inbox/kimi-claw/kimi claw/STRESS_TEST_REPORT_v2.0.md	4d6f4217322d0c112567a1518507272b293a3a166a40245e9bb5b12157ca20ec	21385	artefatto/audit	03_PROJECT/audit/Stress-Test-1.md	copy	2026-06-30	report audit corpus #1
_inbox/kimi-claw/kimi claw/STRESS_TEST_2_REPORT_v2.0.md	c293f887654f43ebc9eb4252a5110d22bf55c7524e4a301c9551b2488264ca5a	18509	artefatto/audit	03_PROJECT/audit/Stress-Test-2.md	copy	2026-06-30	report audit corpus #2
_inbox/kimi-claw/kimi claw/chapters.zip!chapters/ch01/1.1_Il_processo_creativo_come_processo_di_soluzione_di_problemi.md	e2efea6009139de0c1b0bf650cb8474fe6325dd06be3fbb6988eb4b21e728657	4186	capitolo tesi	chapters/ch01/1.1_Il_processo_creativo_come_processo_di_soluzione_di_problemi.md	copy	2026-06-30	testo capitolo congelato/da revisione
_inbox/kimi-claw/kimi claw/chapters.zip!chapters/ch01/1.2_La_dimensione_psicologica_flow_e_coinvolgimento.md	db1f6c3e25e97a821e0ab08602dc9b24791d1649a8069838c62b277350f94f2e	9108	capitolo tesi	chapters/ch01/1.2_La_dimensione_psicologica_flow_e_coinvolgimento.md	copy	2026-06-30	testo capitolo congelato/da revisione
_inbox/kimi-claw/kimi claw/chapters.zip!chapters/ch01/1.3_Il_processo_creativo_nel_fashion_design_una_sintesi.md	b09a49ba6ad49603926070c3713151beb4fed96f189f48472c2fde812c6940a2	9759	capitolo tesi	chapters/ch01/1.3_Il_processo_creativo_nel_fashion_design_una_sintesi.md	copy	2026-06-30	testo capitolo congelato/da revisione
_inbox/kimi-claw/kimi claw/chapters.zip!chapters/ch02/2.1_La_ricerca_come_fase_fondamentale.md	90d1f1bfb4a58ef2dbf2f95cbce89e671b01729b372b822e693dc51eb54bd163	11300	capitolo tesi	chapters/ch02/2.1_La_ricerca_come_fase_fondamentale.md	copy	2026-06-30	testo capitolo congelato/da revisione
_inbox/kimi-claw/kimi claw/chapters.zip!chapters/ch02/2.2_Il_moodboard_come_dispositivo_di_memoria.md	6db2d902c6172db99cbf7c040cb26f8ced64d42324bb904e91cce987ba2639af	9394	capitolo tesi	chapters/ch02/2.2_Il_moodboard_come_dispositivo_di_memoria.md	copy	2026-06-30	testo capitolo congelato/da revisione
_inbox/kimi-claw/kimi claw/chapters.zip!chapters/ch02/2.3_Aura_riproduzione_e_trasformazione_del_riferimento.md	1aaec814698f914990dc3f42be7f95f6acf320aee2c16851a9b4e8addfef2d5d	7989	capitolo tesi	chapters/ch02/2.3_Aura_riproduzione_e_trasformazione_del_riferimento.md	copy	2026-06-30	testo capitolo congelato/da revisione
_inbox/kimi-claw/kimi claw/chapters.zip!chapters/ch02/2.4_Sintesi_metodologica_le_tre_prospettive.md	67e70881867c6354944c5711aeb123cddd71bd27a366b6f57d05421e21c239e7	9743	capitolo tesi	chapters/ch02/2.4_Sintesi_metodologica_le_tre_prospettive.md	copy	2026-06-30	testo capitolo congelato/da revisione
_inbox/kimi-claw/kimi claw/chapters.zip!chapters/ch03/CAP03_progettazione_metodologica.md	0d0367ac0e811316c72431d2af9f244a6040a8dded53281495ede5f728672d37	26201	capitolo tesi	chapters/ch03/CAP03_progettazione_metodologica.md	copy	2026-06-30	testo capitolo congelato/da revisione
